,tweet_id,rating_numerator,rating_denominator,name,status,favorite_count,retweet_count,retweeted
0,892177421306343426,13.0,10,Tilly,,33786,6480,False
1,891815181378084864,12.0,10,Archie,,25445,4301,False
2,891327558926688256,12.0,10,Franklin,,41016,9721,False
3,891087950875897856,13.0,10,,,20548,3240,False
4,890971913173991426,13.0,10,Jax,,12053,2142,False
5,890729181411237888,13.0,10,,,66596,19548,False
6,890609185150312448,13.0,10,Zoey,,28187,4403,False
7,890240255349198849,14.0,10,Cassie,doggo,32467,7684,False
8,890006608113172480,13.0,10,Koda,,31127,7584,False
9,889880896479866881,13.0,10,Bruno,,28208,5116,False
10,889665388333682689,13.0,10,,puppo,38745,8502,False
11,889638837579907072,12.0,10,Ted,,27633,4705,False
12,889531135344209921,13.0,10,Stuart,puppo,15329,2309,False
13,889278841981685760,13.0,10,Oliver,,25712,5635,False
14,888917238123831296,12.0,10,Jim,,29555,4681,False
15,888804989199671297,13.0,10,Zeke,,26021,4535,False
16,888554962724278272,13.0,10,Ralphus,,20267,3722,False
17,888078434458587136,12.0,10,Gerald,,22144,3637,False
18,887705289381826560,13.0,10,Jeffrey,,30690,5584,False
19,887473957103951883,13.0,10,Canela,,70007,18813,False
20,887343217045368832,13.0,10,,,34223,10713,False
21,887101392804085760,12.0,10,,floof,31045,6147,False
22,886983233522544640,13.0,10,Maya,,35786,8045,False
23,886736880519319552,13.0,10,Mingus,,12286,3420,False
24,886366144734445568,12.0,10,Roscoe,pupper,21488,3297,False
25,886258384151887873,13.0,10,Waffles,,28437,6506,False
26,885984800019947520,12.0,10,Jimbo,,33299,7043,False
27,885528943205470208,13.0,10,Maisey,,36592,6642,False
28,884925521741709313,12.0,10,Earl,,78881,19149,False
29,884876753390489601,13.0,10,Lola,,28429,6042,False
30,884562892145688576,13.0,10,Kevin,,24716,5076,False
31,884441805382717440,14.0,10,,,27443,5836,False
32,884162670584377345,12.0,10,Yogi,doggo,20719,3099,False
33,883838122936631299,12.0,10,Noah,,22269,3559,False
34,883482846933004288,13.5,10,Bella,,46741,10336,False
35,883360690899218434,13.0,10,Grizzwald,floof,22932,3802,False
36,883117836046086144,13.0,10,,,37810,6900,False
37,882992080364220416,13.0,10,Rusty,,24358,4086,False
38,882762694511734784,12.0,10,Gus,pupper,28810,5086,False
39,882627270321602560,13.0,10,Stanley,,28327,6303,False
40,882268110199369728,13.0,10,Alfy,,45745,12013,False
41,881906580714921986,12.0,10,Rey,floof,24708,3516,False
42,881666595344535552,13.0,10,Gary,pupper,51390,11026,False
43,881536004380872706,14.0,10,,pupper,50326,16564,False
44,880872448815771648,12.0,10,,,21667,3957,False
45,880465832366813184,12.0,10,Bella,,28997,6500,False
46,880221127280381952,12.0,10,Jesse,,27561,4398,False
47,880095782870896641,11.0,10,,,28085,4506,False
48,879862464715927552,13.0,10,Romeo,,22609,3615,False
49,879492040517615616,12.0,10,Bailey,,23778,3300,False
50,879415818425184262,13.0,10,Duddles,,107834,45655,False
51,879008229531029506,13.0,10,Beau,,19265,2793,False
52,878776093423087618,13.0,10,Snoopy,puppo,19708,4282,False
53,878281511006478336,13.0,10,Shadow,,7890,1338,False
54,878057613040115712,14.0,10,Emmy,,42743,7118,False
55,877736472329191424,13.0,10,Aja,,81450,19908,False
56,877556246731214848,12.0,10,Penny,,23188,3973,False
57,877316821321428993,13.0,10,Dante,,27835,5377,False
58,877201837425926144,12.0,10,Nelly,,27661,5829,False
59,876838120628539392,12.0,10,Ginger,pupper,21069,3493,False
60,876484053909872640,13.0,10,Benedict,,19086,2499,False
61,876120275196170240,13.0,10,,puppo,28392,4872,False
62,875747767867523072,13.0,10,Goose,,25710,4478,False
63,875144289856114688,13.0,10,,,22346,5114,False
64,875021211251597312,12.0,10,,,25948,4895,False
65,874680097055178752,12.0,10,Cash,,28371,4825,False
66,874296783580663808,13.0,10,Jed,pupper,26563,4284,False
67,874057562936811520,12.0,10,,,23061,4107,False
68,874012996292530176,13.0,10,Sebastian,puppo,35406,10926,False
69,873580283840344065,13.0,10,,,24757,4110,False
70,873213775632977920,12.0,10,Sierra,pupper,7435,1656,False
71,872967104147763200,12.0,10,,doggo,27918,5632,False
72,872820683541237760,13.0,10,,,15006,3858,False
73,872620804844003328,13.0,10,Monkey,,21254,3871,False
74,872486979161796608,12.0,10,,,41474,9365,False
75,872261713294495745,13.0,10,Harry,,34982,6606,False
76,871879754684805121,13.0,10,Lassie,puppo,38995,11810,False
77,871762521631449091,12.0,10,Rover,pupper,20716,3641,False
78,871515927908634625,12.0,10,Napolean,doggo,20687,3608,False
79,871032628920680449,13.0,10,Boomer,,23174,3972,False
80,870374049280663552,13.0,10,Zoey,,84753,27502,False
81,870308999962521604,13.0,10,,,22375,4355,False
82,869772420881756160,13.0,10,,,43546,10580,False
83,869702957897576449,13.0,10,Stanley,,29014,6680,False
84,869596645499047938,12.0,10,Scout,doggo,16431,3300,False
85,869227993411051520,13.0,10,Gizmo,,21052,4004,False
86,868622495443632128,13.0,10,,,28165,6234,False
87,868552278524837888,12.0,10,Cooper,,10485,2219,False
88,867900495410671616,12.0,10,,,24905,4410,False
89,867774946302451713,13.0,10,Harold,,35055,7740,False
90,867421006826221569,12.0,10,Shikha,puppo,16683,2673,False
91,867051520902168576,13.0,10,,,33289,8367,False
92,866686824827068416,12.0,10,Lili,puppo,20002,3707,False
93,866450705531457537,13.0,10,Jamesy,pupper,106481,32705,False
94,866334964761202691,12.0,10,Coco,,54493,15442,False
95,865718153858494464,13.0,10,Boomer,,26528,5975,False
